explosion_intensity,id
59,0
50,1
85,2
70,3
84,4
66,5
58,6
85,7
65,8
74,9
27,10
19,11
56,12
27,13
38,14
68,15
46,16
76,17
77,18
78,19
85,20
86,21
49,22
92,23
60,24
0,25
74,26
32,27
0,28
8,29
75,30
0,31
50,32
22,33
88,34
65,35
47,36
63,37
71,38
34,39
87,40
32,41
97,42
100,43
95,44
69,45
80,46
98,47
96,48
88,49
92,50
99,51
97,52
87,53
77,54
97,55
93,56
100,57
99,58
32,59
78,60
55,61
96,62
88,63
73,64
99,65
100,66
91,67
73,68
99,69
75,70
81,71
92,72
94,73
38,74
60,75
77,76
71,77
70,78
100,79
100,80
100,81
87,82
51,83
90,84
100,85
32,86
67,87
54,88
67,89
83,90
92,91
60,92
75,93
86,94
78,95
87,96
57,97
47,98
40,99
62,100
50,101
73,102
49,103
89,104
72,105
76,106
77,107
45,108
43,109
39,110
57,111
91,112
22,113
93,114
93,115
45,116
40,117
45,118
87,119
48,120
52,121
53,122
84,123
47,124
54,125
75,126
91,127
75,128
92,129
95,130
36,131
50,132
92,133
91,134
46,135
40,136
41,137
43,138
61,139
100,140
100,141
88,142
84,143
56,144
58,145
100,146
75,147
87,148
100,149
97,150
41,151
99,152
100,153
87,154
100,155
62,156
67,157
59,158
65,159
29,160
69,161
84,162
58,163
73,164
67,165
63,166
66,167
90,168
72,169
90,170
85,171
75,172
52,173
65,174
63,175
51,176
53,177
75,178
90,179
83,180
65,181
63,182
50,183
65,184
69,185
44,186
62,187
38,188
82,189
76,190
61,191
89,192
72,193
81,194
76,195
75,196
49,197
30,198
65,199
93,200
100,201
82,202
73,203
55,204
63,205
85,206
86,207
78,208
65,209
82,210
89,211
52,212
53,213
59,214
54,215
54,216
32,217
69,218
54,219
73,220
67,221
80,222
63,223
60,224
88,225
78,226
65,227
61,228
55,229
58,230
62,231
73,232
59,233
96,234
70,235
92,236
79,237
63,238
67,239
62,240
71,241
87,242
45,243
66,244
48,245
50,246
50,247
54,248
75,249
72,250
83,251
71,252
63,253
70,254
67,255
32,256
71,257
67,258
78,259
65,260
55,261
63,262
72,263
55,264
25,265
74,266
82,267
33,268
86,269
71,270
88,271
70,272
43,273
84,274
44,275
95,276
84,277
94,278
83,279
56,280
70,281
78,282
93,283
87,284
62,285
66,286
84,287
84,288
65,289
44,290
0,291
55,292
73,293
60,294
57,295
71,296
82,297
67,298
64,299
76,300
20,301
68,302
73,303
82,304
52,305
78,306
34,307
83,308
