id,Pumpkin_Harvest
7KttJT2x,3923.0
JvPELkNf,8570.0
frn5BBbW,4248.0
4CigepkK,4162.0
GcU8YVAW,5063.0
7AvspXjL,6493.0
BjPCuGiU,6986.0
rHVvwGCA,5746.0
4w6ucMDH,3968.0
VnRyZWHi,6515.0
pkwjr536,6852.0
sBpDBF4o,4999.0
PdzTaU7g,7064.0
dNKsPqRE,6412.0
QUMoeFkk,6318.0
SfvTE8KL,5498.0
JNw6xmDL,6376.0
Q6svaGxY,7455.0
oNkuAQMW,6115.0
Bw5yunbM,1945.0
sfmLsmdQ,6443.0
eFeHejEU,6580.0
LzpToLHr,3813.0
DwYo23zB,5446.0
iykNQkRY,4062.0
bCheCRR4,6079.0
VmNmwZeZ,5345.0
EyWt3jFq,4503.0
UPo43stE,7903.0
cjre9gho,6673.0
rfULJ6Ee,6621.0
D6KXbwca,3968.0
LXqXTBUF,5684.0
mpdLiNkw,5449.0
bp4AbSdz,5330.0
nSnzM4UU,6503.0
BgZ7bqE3,5042.0
gAptMc9A,5914.0
MLar54cK,4966.0
PL7cYgX4,6960.0
5zFFkX62,6922.0
rJujHyWh,6539.0
jX7PM2ah,6941.0
tPgwu52M,6752.0
3omKJiEU,4737.0
kNNx4Cns,8104.0
jJvCV2kS,6852.0
E9MuBTAy,7903.0
oViDXHhh,5715.0
apx7Zvac,6619.0
JYcMMnE3,4393.0
FofPBpEs,6574.0
n6moqXNy,5377.0
FPFswAsp,6514.0
YHexCqGN,4673.0
3PykZTP3,5399.0
st2TqSZr,6320.0
DkYVjzyV,5817.0
4gnShXS5,7219.0
3wfMqFYz,8064.0
KL7iffGc,6370.0
jasEtH3M,4905.0
KbBtkKDr,5942.0
i95RzooF,6491.0
JfZmm7jr,6467.0
ZUS9THnJ,6848.0
dsgjoZRx,6072.0
Vad548KA,7019.0
n5t8Dxi3,7231.0
e4PeshPk,5544.0
hU4Yxg2E,6132.0
6WFKAMKE,4936.0
oQVhXviz,5347.0
F6wCjy2D,5864.0
GXwL9Bbb,6846.0
k5mwqzQv,7303.0
X3ehDxze,6026.0
rYpjkFQ2,6702.0
J7hfPNTz,5645.0
emrrFoDt,4320.0
cWxaUS3n,7565.0
ny5q4hUe,6898.0
Ucyjas2S,8284.0
tkwYbSsE,5556.0
59UPKtRJ,7028.0
9tod6QMd,4574.0
nRsmTJfA,7924.0
XoYUcg2S,4045.0
LVzwFDfr,7667.0
qjStNhPi,4254.0
rirDeHEG,4858.0
k4BamYLP,7761.0
CEXchtHk,7013.0
F3cWLZ9U,5867.0
EtZpdFUR,3748.0
4LYR6zAt,4062.0
EDT3PAb7,7969.0
fkkjZn2y,6578.0
nL2zNmLa,7411.0
c3HceaUb,2825.0
mvJ3eTc5,6731.0
KKcgSQ7t,5773.0
FZRKvZam,6315.0
rLFwAZta,7771.0
RHYVGxUx,7548.0
crUpF23a,4584.0
fSsnQhTd,5492.0
oiUQzUy5,8284.0
rSUGBvFi,8413.0
LPUgcsUo,5643.0
GdcXvg3Z,6254.0
BRTtiGgC,4016.0
XzegMqoH,6524.0
V8tqZcqS,6235.0
hERjQVWs,5061.0
jW754tgb,2384.0
DH69L7z4,6524.0
4zpippHW,5381.0
YkSB44sj,5492.0
B5nVPKpN,4850.0
srLZKtXh,4945.0
BR5hLxxt,4945.0
PyjBpQm8,3387.0
svsSv3sH,5199.0
KdgxGG8U,7588.0
bXowHzMZ,5333.0
h72yczpQ,6757.0
hqwR4GVW,4476.0
msH3ug82,7637.0
LABN5ghM,7548.0
fNqD9kyM,5914.0
WF9GALRL,6117.0
d5Jb6YQW,6493.0
Dg5CZRvR,6795.0
67ZHKnUX,7510.0
3qrL9T6Q,8007.0
TVTwgZAa,7804.0
iuAAXUsa,7565.0
F6PvGTnf,4387.0
GhshvKHc,6608.0
