row_id,num_sold,product
558,221,Mug
559,434,Cap
560,115,Tee
561,427,Mug
562,657,Cap
563,166,Tee
564,383,Mug
565,760,Cap
566,176,Tee
567,685,Mug
568,1214,Cap
569,281,Tee
570,305,Mug
571,477,Cap
572,128,Tee
573,453,Mug
574,802,Cap
575,219,Tee
576,199,Mug
577,337,Cap
578,83,Tee
579,339,Mug
580,545,Cap
581,142,Tee
582,304,Mug
583,546,Cap
584,135,Tee
585,532,Mug
586,988,Cap
587,252,Tee
588,221,Mug
589,437,Cap
590,102,Tee
591,378,Mug
592,694,Cap
593,196,Tee
594,185,Mug
595,305,Cap
596,87,Tee
597,305,Mug
598,588,Cap
599,146,Tee
600,328,Mug
601,521,Cap
602,152,Tee
603,600,Mug
604,994,Cap
605,259,Tee
606,228,Mug
607,398,Cap
608,102,Tee
609,372,Mug
610,643,Cap
611,184,Tee
612,167,Mug
613,333,Cap
614,85,Tee
615,309,Mug
616,569,Cap
617,139,Tee
618,313,Mug
619,603,Cap
620,144,Tee
621,536,Mug
622,1008,Cap
623,261,Tee
624,241,Mug
625,406,Cap
626,100,Tee
627,355,Mug
628,666,Cap
629,185,Tee
630,183,Mug
631,333,Cap
632,90,Tee
633,312,Mug
634,545,Cap
635,134,Tee
636,304,Mug
637,559,Cap
638,151,Tee
639,564,Mug
640,917,Cap
641,256,Tee
642,219,Mug
643,406,Cap
644,108,Tee
645,372,Mug
646,674,Cap
647,179,Tee
648,195,Mug
649,315,Cap
650,83,Tee
651,353,Mug
652,621,Cap
653,157,Tee
654,350,Mug
655,591,Cap
656,166,Tee
657,557,Mug
658,1052,Cap
659,246,Tee
660,222,Mug
661,429,Cap
662,104,Tee
663,410,Mug
664,715,Cap
665,186,Tee
666,238,Mug
667,419,Cap
668,92,Tee
669,396,Mug
670,714,Cap
671,185,Tee
672,399,Mug
673,703,Cap
674,168,Tee
675,685,Mug
676,1282,Cap
677,314,Tee
678,266,Mug
679,476,Cap
680,134,Tee
681,496,Mug
682,804,Cap
683,231,Tee
684,246,Mug
685,390,Cap
686,97,Tee
687,388,Mug
688,697,Cap
689,189,Tee
690,391,Mug
691,746,Cap
692,167,Tee
693,648,Mug
694,1221,Cap
695,339,Tee
696,270,Mug
697,478,Cap
698,121,Tee
699,483,Mug
700,848,Cap
701,205,Tee
702,174,Mug
703,343,Cap
704,88,Tee
705,342,Mug
706,594,Cap
707,146,Tee
708,307,Mug
709,578,Cap
710,135,Tee
711,575,Mug
712,1093,Cap
713,270,Tee
714,210,Mug
715,401,Cap
716,110,Tee
717,386,Mug
718,652,Cap
719,178,Tee
720,184,Mug
721,347,Cap
722,74,Tee
723,316,Mug
724,610,Cap
725,150,Tee
726,326,Mug
727,538,Cap
728,139,Tee
729,539,Mug
730,951,Cap
731,247,Tee
732,220,Mug
733,419,Cap
734,96,Tee
735,383,Mug
736,736,Cap
737,184,Tee
738,191,Mug
739,366,Cap
740,91,Tee
741,339,Mug
742,592,Cap
743,151,Tee
744,326,Mug
745,540,Cap
746,156,Tee
747,598,Mug
748,992,Cap
749,264,Tee
750,207,Mug
751,425,Cap
752,104,Tee
753,368,Mug
754,758,Cap
755,187,Tee
756,182,Mug
757,332,Cap
758,84,Tee
759,340,Mug
760,571,Cap
761,140,Tee
762,324,Mug
763,583,Cap
764,148,Tee
765,531,Mug
766,982,Cap
767,265,Tee
768,214,Mug
769,416,Cap
770,101,Tee
771,397,Mug
772,702,Cap
773,167,Tee
774,196,Mug
775,362,Cap
776,89,Tee
777,318,Mug
778,603,Cap
779,148,Tee
780,315,Mug
781,605,Cap
782,145,Tee
783,561,Mug
784,1113,Cap
785,233,Tee
786,238,Mug
787,449,Cap
788,100,Tee
789,411,Mug
790,686,Cap
791,180,Tee
792,231,Mug
793,424,Cap
794,94,Tee
795,400,Mug
796,714,Cap
797,173,Tee
798,410,Mug
799,734,Cap
800,184,Tee
801,687,Mug
802,1335,Cap
803,324,Tee
804,288,Mug
805,439,Cap
806,120,Tee
807,492,Mug
808,903,Cap
809,230,Tee
810,224,Mug
811,390,Cap
812,111,Tee
813,418,Mug
814,752,Cap
815,178,Tee
816,423,Mug
817,735,Cap
818,166,Tee
819,673,Mug
820,1241,Cap
821,317,Tee
822,285,Mug
823,497,Cap
824,116,Tee
825,486,Mug
826,874,Cap
827,245,Tee
828,158,Mug
829,315,Cap
830,76,Tee
831,312,Mug
832,577,Cap
833,150,Tee
834,310,Mug
835,573,Cap
836,134,Tee
837,508,Mug
838,978,Cap
839,233,Tee
840,235,Mug
841,413,Cap
842,106,Tee
843,419,Mug
844,699,Cap
845,178,Tee
846,176,Mug
847,316,Cap
848,83,Tee
849,318,Mug
850,631,Cap
851,147,Tee
852,324,Mug
853,555,Cap
854,145,Tee
855,537,Mug
856,988,Cap
857,235,Tee
858,231,Mug
859,413,Cap
860,100,Tee
861,395,Mug
862,741,Cap
863,175,Tee
864,177,Mug
865,366,Cap
866,74,Tee
867,301,Mug
868,583,Cap
869,140,Tee
870,296,Mug
871,550,Cap
872,144,Tee
873,575,Mug
874,998,Cap
875,260,Tee
876,228,Mug
877,416,Cap
878,100,Tee
879,369,Mug
880,687,Cap
881,193,Tee
882,185,Mug
883,371,Cap
884,85,Tee
885,348,Mug
886,582,Cap
887,140,Tee
888,301,Mug
889,670,Cap
890,143,Tee
891,517,Mug
892,1072,Cap
893,251,Tee
894,216,Mug
895,435,Cap
896,99,Tee
897,352,Mug
898,646,Cap
899,165,Tee
900,196,Mug
901,362,Cap
902,80,Tee
903,359,Mug
904,670,Cap
905,141,Tee
906,343,Mug
907,591,Cap
908,150,Tee
909,568,Mug
910,1100,Cap
911,268,Tee
912,242,Mug
913,442,Cap
914,102,Tee
915,388,Mug
916,712,Cap
917,197,Tee
918,219,Mug
919,459,Cap
920,103,Tee
921,367,Mug
922,728,Cap
923,183,Tee
924,396,Mug
925,725,Cap
926,174,Tee
927,694,Mug
928,1237,Cap
929,311,Tee
930,263,Mug
931,524,Cap
932,121,Tee
933,477,Mug
934,867,Cap
935,211,Tee
936,235,Mug
937,422,Cap
938,99,Tee
939,366,Mug
940,752,Cap
941,184,Tee
942,376,Mug
943,765,Cap
944,192,Tee
945,707,Mug
946,1200,Cap
947,301,Tee
948,295,Mug
949,531,Cap
950,123,Tee
951,489,Mug
952,957,Cap
953,219,Tee
954,172,Mug
955,331,Cap
956,84,Tee
957,310,Mug
958,667,Cap
959,155,Tee
960,263,Mug
961,550,Cap
962,152,Tee
963,547,Mug
964,1115,Cap
965,271,Tee
966,221,Mug
967,381,Cap
968,99,Tee
969,389,Mug
970,760,Cap
971,168,Tee
972,169,Mug
973,355,Cap
974,85,Tee
975,303,Mug
976,598,Cap
977,143,Tee
978,329,Mug
979,608,Cap
980,150,Tee
981,515,Mug
982,1065,Cap
983,232,Tee
984,212,Mug
